Style No,Color,0,2,4,6,8,10,12,14,16,18,20,22,24,Qty,Unit Cost,Total Cost,List At,MSRP,Product Link,Image Link
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,https://xscapeevenings.com/products/madeline-brocade-v-neck-floor-length-dress,https://cdn.shopify.com/s/files/1/0474/2162/0379/files/7462XW_SAGEGOLD_0248.jpg?v=1765298353
,,,,,,,,,,,,,,,,,,,,https://www.macys.com/shop/product/xscape-plus-size-off-the-shoulder-brocade-ball-gown,
,,,,,,,,,,,,,,,,,,,,https://www.ebay.com/itm/397814095135,
,,,,,,,,,,,,,,,,,,,,https://www.belk.com/p/xscape-womens-ruched-sheath-dress/0480048204187.html,
,,,,,,,,,,,,,,,,,,,,,
TOTAL,,,,,,,,,,,,,,,199,,$5340.00,,,,
